iter	MultiClass
0	1.037746177
1	0.9920059269
2	0.956726887
3	0.92910146
4	0.9071865623
5	0.8897601504
6	0.8756319961
7	0.8642412008
8	0.8550141304
9	0.8474591945
10	0.8412258202
11	0.8362424346
12	0.8321945096
13	0.8287964293
14	0.8261100665
15	0.8238602836
16	0.8220122375
17	0.8204960395
18	0.8192304438
19	0.8182215416
20	0.8174298222
21	0.816701191
22	0.8161209608
23	0.8156718902
24	0.8152701213
25	0.8149228705
26	0.8146432696
27	0.8144507222
28	0.8142576448
29	0.8141310721
30	0.8139905115
31	0.8138901816
32	0.8137970953
33	0.8137338961
34	0.8136934416
35	0.8136369698
36	0.8135907571
37	0.8135494102
38	0.8135242881
39	0.8134932085
40	0.8134739012
41	0.8134571459
42	0.8134360308
43	0.8134192972
44	0.8134049701
45	0.8133925176
46	0.8133839777
47	0.8133767179
48	0.8133703825
49	0.8133625306
50	0.8133605043
51	0.8133561768
52	0.8133505066
53	0.8133462058
54	0.8133431403
55	0.8133363662
56	0.8133322159
57	0.8133309624
58	0.8133263683
59	0.8133250199
60	0.8133230855
61	0.8133197407
62	0.8133171792
63	0.813314353
64	0.8133131619
65	0.8133128454
66	0.8133119685
67	0.8133101938
68	0.813308537
69	0.8133067112
70	0.8133017732
71	0.8133001436
72	0.8132966405
73	0.8132960263
74	0.8132935712
75	0.8132931408
76	0.8132914497
77	0.8132902393
78	0.8132891819
79	0.8132881055
80	0.8132858599
81	0.8132845178
82	0.8132828615
83	0.8132824988
84	0.8132812172
85	0.8132805728
86	0.813279658
87	0.8132778066
88	0.8132770997
89	0.8132756831
90	0.8132749426
91	0.8132731855
92	0.8132723779
93	0.8132702266
94	0.8132697239
95	0.8132689538
96	0.8132682142
97	0.8132666015
98	0.813265532
99	0.8132637661
100	0.8132610746
101	0.8132587688
102	0.813256455
103	0.8132542298
104	0.8132530856
105	0.8132517603
106	0.8132495781
107	0.8132482076
108	0.8132467493
109	0.8132455162
110	0.8132442565
111	0.8132424444
112	0.8132404192
113	0.8132397141
114	0.8132375843
115	0.8132350933
116	0.8132332324
117	0.8132300955
118	0.8132265604
119	0.8132243
120	0.813223033
121	0.8132218927
122	0.8132210466
123	0.8132194245
124	0.8132175849
125	0.8132145322
126	0.8132105136
127	0.8132066097
128	0.8132042872
129	0.8132004564
130	0.8131987356
131	0.8131952405
132	0.8131936901
133	0.813189712
134	0.8131847681
135	0.8131825726
136	0.813180433
137	0.8131793838
138	0.8131773298
139	0.8131761749
140	0.8131751925
141	0.8131736985
142	0.8131721067
143	0.8131711917
144	0.8131688645
145	0.8131667942
146	0.8131646288
147	0.813161276
148	0.8131592202
149	0.8131574868
150	0.8131556999
151	0.8131541005
152	0.8131526754
153	0.813150294
154	0.8131495667
155	0.8131465833
156	0.8131445746
157	0.8131415442
158	0.8131403139
159	0.8131388047
160	0.8131367415
161	0.8131354268
162	0.8131331006
163	0.8131308951
164	0.8131300521
165	0.8131286638
166	0.8131271899
167	0.8131248687
168	0.8131219262
169	0.8131210992
170	0.8131176948
171	0.8131167391
172	0.8131141176
173	0.813113392
174	0.8131122696
175	0.8131099729
176	0.813109117
177	0.8131070013
178	0.8131044029
179	0.8131030078
180	0.8131012274
181	0.8131000706
182	0.8130996115
183	0.8130973258
184	0.8130963606
185	0.8130955472
186	0.8130923053
